event,raw_transition_index_0based,edge,time_s,relative_us,rise_index_0based
2,5164603,falling,27.094676838,6.41000000101144,2582301
2,5164604,rising,27.094677688,7.260000000286482,2582302
2,5164605,falling,27.094678048,7.619999998098592,2582302
2,5164606,rising,27.094678898,8.470000000926348,2582303
2,5164607,falling,27.094679258,8.829999998738458,2582303
2,5164608,rising,27.094680108,9.6799999980135,2582304
2,5164609,falling,27.094680465999996,10.03799999566013,2582304
2,5164610,rising,27.094681318,10.889999998653366,2582305
2,5164611,falling,27.094681676,11.24799999985271,2582305
2,5164612,rising,27.094682528,12.099999999293232,2582306
2,5164613,falling,27.094682886,12.458000000492575,2582306
2,5164614,rising,27.094683738,13.309999999933098,2582307
2,5164615,falling,27.094684098,13.669999997745208,2582307
2,5164616,rising,27.094684948,14.520000000572963,2582308
2,5164617,falling,27.094685306,14.877999998219593,2582308
2,5164618,rising,27.094686156,15.728000001047349,2582309
2,5164619,falling,27.094686516,16.08799999885946,2582309
